x_transformed,y_transformed,group
17671.506,13215.995,CD1c+ Myeloid Dendritic Cell
17648.795,13232.85,Naive Thymus Derived CD4+ αβ T Cell
17627.154,13237.801,Naive Thymus Derived CD4+ αβ T Cell
17633.55,13215.576,Naive Thymus Derived CD4+ αβ T Cell
17673.28,13278.17,Innate Lymphoid Cell
17651.697,13277.515,Memory B Cell
17653.592,13256.004,Memory B Cell
17716.648,13314.494,Regulatory T Cell
17686.646,13304.157,Hematopoietic Stem Cell
17688.17,13329.468,Regulatory T Cell
17704.477,13322.544,B Cell
17610.855,13319.795,Memory B Cell
17610.586,13340.825,Effector CD4+ αβ T Cell
17545.191,13330.473,Memory B Cell
17562.547,13317.915,Effector CD8+ αβ T Cell
17564.098,13341.222,Regulatory T Cell
17583.72,13323.265,Memory B Cell
17620.021,13301.063,Macrophage
17554.414,13296.605,B Cell
17574.213,13301.046,Plasma Cell
17593.066,13298.444,Effector CD4+ αβ T Cell
17670.238,13326.166,B Cell
17634.504,13315.174,Naive Thymus Derived CD4+ αβ T Cell
17635.854,13338.86,Memory B Cell
17642.855,13295.429,Endothelial Cell
17654.385,13319.655,Endothelial Cell
17813.477,13268.705,Memory B Cell
17755.531,13278.095,Memory B Cell
17765.406,13255.797,Memory B Cell
