x_transformed,y_transformed,group
16859.61,23841.16,T and NK Cells
16933.242,23781.73,Tumor Cells
16949.787,23815.68,Tumor Cells
17053.01,23765.96,Macrophages
16991.486,23815.193,Tumor Cells
17003.732,23782.5,Macrophages
17035.51,23805.959,Tumor Cells
17088.707,23859.758,Tumor Cells
17030.006,23838.297,Tumor Cells
17042.744,23857.674,Tumor Cells
17063.31,23869.635,Tumor Cells
17076.611,23822.125,Macrophages
17146.62,23855.29,Tumor Cells
17120.63,23862.469,Tumor Cells
17119.602,23833.258,Tumor Cells
17139.281,23888.832,Tumor Cells
17096.598,23937.068,Macrophages
17050.143,23956.37,Macrophages
17075.105,23956.295,Malignant Cells Lining Cyst
17136.582,23917.346,Tumor Cells
17130.637,23940.506,Tumor Cells
17094.361,23901.004,Macrophages
17259.365,23898.717,Tumor Cells
17220.482,23909.172,Tumor Cells
17233.682,23890.008,Tumor Cells
17254.89,23918.385,Tumor Cells
17257.082,23969.38,Tumor Cells
17280.223,23944.102,Macrophages
17237.168,23933.535,Tumor Cells
17237.617,23950.65,Tumor Cells
17197.803,23919.744,Macrophages
13515.383,24273.648,T and NK Cells
13638.407,24089.064,SOX2-OT+ Tumor Cells
17415.129,23785.902,Macrophages
17369.719,23790.402,Tumor Cells
17393.693,23806.436,Tumor Cells
17301.281,23843.033,Tumor Cells
17249.092,23843.834,Tumor Cells
17270.287,23820.104,T and NK Cells
17271.82,23869.145,Tumor Cells
17376.867,23827.63,Proliferative Tumor Cells
17359.662,23881.559,Tumor Cells
17379.074,23865.621,Tumor Cells
17194.066,23814.799,Proliferative Tumor Cells
14754.425,23741.805,SOX2-OT+ Tumor Cells
14857.594,23933.842,Macrophages
16004.563,23889.922,T and NK Cells
17220.541,23832.037,Macrophages
17463.879,23908.96,Tumor Cells
17462.71,23941.082,Tumor Cells
17494.307,23931.752,Tumor Cells
17340.09,23920.576,Tumor Cells
17316.91,23966.154,Tumor Cells
17316.23,23923.637,Tumor Cells
17328.314,23893.035,Proliferative Tumor Cells
17370.334,23937.803,Tumor Cells
17360.322,23959.707,Tumor Cells
17367.453,23911.334,Tumor Cells
17440.102,23899.42,Tumor Cells
17390.326,23980.674,Tumor Cells
17394.66,23953.438,Tumor Cells
17415.707,23979.922,Tumor Cells
17428.584,23918.297,Tumor Cells
17429.582,23957.3,Tumor Cells
17454.178,24022.982,Tumor Cells
17489.139,24083.441,Proliferative Tumor Cells
17456.49,24066.809,Malignant Cells Lining Cyst
17491.01,24004.904,Tumor Cells
17486.68,23970.072,Tumor Cells
17465.924,23852.852,Proliferative Tumor Cells
17477.12,18969.922,Tumor Cells
17405.46,18973.885,Proliferative Tumor Cells
17414.799,18954.0,Tumor Cells
17436.184,18991.225,Tumor Cells
17447.957,18973.79,Proliferative Tumor Cells
17460.709,18998.602,Tumor Cells
17446.69,18946.28,Proliferative Tumor Cells
17409.088,18926.346,Tumor Cells
17439.7,18910.729,Proliferative Tumor Cells
17419.846,19270.645,Tumor Cells
17358.482,19282.834,Proliferative Tumor Cells
17373.387,19313.53,Proliferative Tumor Cells
17402.1,19287.383,Proliferative Tumor Cells
17413.934,19244.186,Proliferative Tumor Cells
17337.537,19227.402,Proliferative Tumor Cells
17375.576,19220.771,Proliferative Tumor Cells
17372.988,19254.018,Proliferative Tumor Cells
17430.346,19222.422,Proliferative Tumor Cells
17420.05,19174.752,Tumor Cells
17354.637,19197.738,Proliferative Tumor Cells
17354.715,19174.03,Tumor Cells
17403.127,19202.246,Proliferative Tumor Cells
17474.477,19195.912,Proliferative Tumor Cells
17491.357,19181.287,Tumor Cells
17457.553,19303.938,Proliferative Tumor Cells
17471.885,19278.219,Proliferative Tumor Cells
17422.951,19142.791,Proliferative Tumor Cells
17333.363,19122.63,Tumor Cells
17351.953,19141.9,Tumor Cells
17382.916,19149.557,Proliferative Tumor Cells
17321.598,19097.076,Tumor Cells
17362.223,19113.562,Tumor Cells
17343.795,19100.342,Tumor Cells
17395.307,19047.102,Proliferative Tumor Cells
17345.111,19073.092,Tumor Cells
17364.195,19049.96,Tumor Cells
17384.39,19087.895,Tumor Cells
17486.918,19004.482,Proliferative Tumor Cells
17420.287,19018.777,Proliferative Tumor Cells
17435.902,19007.15,Proliferative Tumor Cells
17445.861,19026.492,Proliferative Tumor Cells
17471.22,19022.334,Proliferative Tumor Cells
17439.371,19088.246,Proliferative Tumor Cells
17454.91,19062.842,Tumor Cells
17475.086,19049.76,Proliferative Tumor Cells
17476.95,19094.984,Proliferative Tumor Cells
15362.96,18910.33,Tumor Cells
15324.618,18904.383,Proliferative Tumor Cells
15336.914,18938.59,Proliferative Tumor Cells
15361.986,18940.453,Tumor Cells
15286.095,18905.17,Tumor Cells
15203.824,18889.746,T and NK Cells
